Q;L;nC;rC;frI;nY;rY;rYds;repo;pop;wc;sf
1980K1;;;;;140403;;;;;;
1980K2;;;;;142348;;;;;;
1980K3;;;;;141749;;;;;;
1980K4;;;;;159913;;;;;;
1981K1;1640;;248464;94478;154106;482649;484490;;;;
1981K2;1635;;250404;93860;160290;495614;489296;;;;
1981K3;1658;;250224;94655;152956;442486;496912;;;;
1981K4;1632;;249452;92499;171282;528100;495192;;;;
1982K1;1633;;252013;94021;167296;494727;495866;;;;
1982K2;1642;;251531;94773;177728;506472;498622;;;;
1982K3;1646;;250912;93892;164313;439539;494895;;;;
1982K4;1656;;251882;95118;190187;535899;501244;;;;
1983K1;1649;;245004;95820;185529;500463;499070;;;;
1983K2;1658;;244303;95327;196499;511876;504199;;;;
1983K3;1649;;246701;97923;186703;453339;511242;;;;
1983K4;1660;;248445;100978;216094;551632;516748;;;;
1984K1;1680;;249614;101642;213649;534097;529627;;;;
1984K2;1670;;250634;105032;220873;532863;526008;;;;
1984K3;1685;;251950;105425;207208;467470;528819;;;;
1984K4;1694;;252362;110207;240244;569515;537042;;;;
1985K1;1686;;257224;113239;233813;535360;531945;;;;
1985K2;1706;;256826;115025;241803;551271;543431;;;;
1985K3;1711;;256778;114172;226600;484862;546949;;;;
1985K4;1716;;259351;112845;257501;580253;548931;;;;
1986K1;1711;;264181;113474;253086;557718;556972;;;;
1986K2;1717;;266281;115225;266071;567749;556523;;;;
1986K3;1719;;273939;116865;249614;496686;560188;;;;
1986K4;1723;;276211;117921;280515;592573;562080;;;;
1987K1;1736;;277414;118259;273149;572229;567738;;5289,9;;
1987K2;1727;;285718;120459;287096;584108;575235;;5296,7;;
1987K3;1736;;282655;124688;268932;514576;580373;;5302,6;;
1987K4;1752;;287933;124843;306232;616136;583763;;5307,8;;
1988K1;1768;;291831;126214;300596;596066;589064;;5312,1;;
1988K2;1769;;289258;125624;312683;598087;587396;;5319;;
1988K3;1769;;291928;128477;292923;521604;588448;;5326,8;;
1988K4;1776;;290854;130863;335199;627561;593845;;5332,6;;
1989K1;1798;;292331;136663;333309;605840;600207;;5340,1;;
1989K2;1797;;293765;140818;347811;616951;604005;;5352,3;;
1989K3;1812;;294178;140540;322910;536288;605657;;5362,8;;
1989K4;1807;;297168;144945;369505;641954;609462;;5370,5;;
1990K1;1810;;295085;141142;369112;614247;606042;;5382;;
1990K2;1825;;295606;142218;387613;623286;613553;;5394;;
1990K3;1835;;292225;144193;357813;540314;609016;;5403,2;;
1990K4;1815;;288328;139962;400319;642385;612359;;5408,4;;
1991K1;1798;;293691;138132;407093;614664;608741;;5415,1;;
1991K2;1781;;293250;131597;418826;615772;605725;;5423,2;;
1991K3;1764;;290917;128943;381318;535628;600275;;5428,3;;
1991K4;1770;;294761;128370;417221;629316;601660;;5432,2;;
1992K1;1752;;294075;127221;413891;619690;612168;;5438,8;;
1992K2;1722;;290022;122857;413804;607354;599967;;5445,5;;
1992K3;1695;;288197;116788;386783;538726;599978;;5449,9;;
1992K4;1689;;282455;112938;412599;606254;579598;;5453;;
1993K1;1643;200449;276494;107367;398485;578522;575384;;5455,8;156534;28768
1993K2;1636;203339;278110;107777;412789;593116;578848;;5459,3;164238;30045
1993K3;1634;206170;280024;106060;392107;539863;586218;;5462,3;161325;28719
1993K4;1623;209181;280648;104515;430750;614067;582465;;5466,9;161279;28715
1994K1;1630;211660;283858;112776;422410;599122;593257;;5479,3;156160;30283
1994K2;1660;211590;282021;112039;441518;614816;600091;6,9343;5493,1;170229;32787
1994K3;1654;214995;284074;113861;415622;557302;605907;7,06;5501,6;168763;32565
1994K4;1665;219132;287181;118046;464883;649388;614659;7,3688;5511,1;174030;33525
1995K1;1684;220287;286009;119805;459806;632039;623310;7,8023;5517,2;163533;29925
1995K2;1692;224034;288408;120381;478276;638848;626777;8,4595;5522,5;180218;32718
1995K3;1702;224046;287821;125913;448482;575324;629035;8,9023;5525,5;175460;32063
1995K4;1697;224908;288296;128602;496998;671830;637344;8,91;5527,3;182582;33255
1996K1;1707;226504;290143;127892;481795;647486;639561;8,2783;5530,8;175805;32141
1996K2;1695;226954;290542;128619;486728;647365;634973;6,6966;5536;192221;34920
1996K3;1679;231550;295253;132870;462309;586050;637959;5,4833;5539,6;188102;34300
1996K4;1691;232869;295506;131810;501193;675361;642786;4,6073;5542,3;188105;34303
1997K1;1693;235094;297973;129748;481736;640753;646757;4,1;5544,4;182919;34203
1997K2;1671;239803;302480;133398;516240;674596;654604;4,1;5547,4;199395;37053
1997K3;1683;240474;301157;130950;482967;607979;661254;4,1;5551,7;196789;36860
1997K4;1697;242511;303614;134980;538318;707078;672427;4,1323;5553,3;195940;36709
1998K1;1696;243677;305858;137895;511293;672560;674049;4,35;5556,8;192263;24352
1998K2;1699;246910;309660;141588;540961;699740;684999;4,2864;5561,5;207485;26145
1998K3;1710;249376;312328;144060;505791;633786;688556;4,1;5566,6;207873;26269
1998K4;1726;253693;316454;146269;562992;735502;696193;3,8214;5569,9;210195;26338
1999K1;1732;256081;317767;150279;538053;703636;706712;3,271;5573,6;204767;26545
